,zip_code,zip_freq
120923,15412,2
120924,15062,4
120981,15324,1
121051,15473,7
121078,15140,12
121108,15434,1
121245,15423,5
121687,44455,36
121693,44441,9
121712,15066,68
121746,16115,55
121798,15323,11
121971,44413,28
122041,43913,14
122135,44445,12
122774,15201,93
122903,15376,3
122904,15673,4
122917,15333,30
122934,15223,27
122935,15632,4
122941,15613,16
122955,15668,12
122956,15417,180
122969,15636,4
123060,15442,1
123217,15626,12
123408,15644,14
123428,15690,3
123430,15322,11
123480,16002,247
123493,15320,2
123524,16063,13
123557,16053,4
123561,16033,11
123646,16001,585
123660,16023,1
123755,16052,36
123909,16201,21
123952,44511,650
123956,44502,252
123960,44515,379
123964,44506,12
123968,44512,974
123972,44471,92
123975,44484,1440
123984,16226,20
123989,16262,16
123997,15601,270
124089,15672,2
124090,16117,40
124091,16105,450
124097,26003,276
124100,44420,618
124106,44514,434
124110,16101,804
124174,44406,172
124175,16102,102
124181,44405,364
124188,43912,495
124205,26041,12
124206,16142,12
124231,44403,100
124247,26059,5
124254,44473,157
124263,43935,53
124268,44505,284
124279,44408,148
124320,26031,2
124321,43906,84
124344,44446,532
124380,44509,352
124404,26060,8
124448,16157,13
124455,44490,12
124499,44510,8
124513,43953,77
124554,44504,144
124598,44425,684
124616,26038,2
124642,44436,15
124650,16146,18
124774,44452,11
124775,44431,25
124805,43947,32
124836,44437,125
124929,44507,80
124937,44440,24
125229,16116,18
125258,26040,1
125314,16112,9
125321,43938,20
125402,44442,46
125756,16051,5
126118,16143,30
126136,16160,4
126137,16148,15
126150,44443,6
126166,43943,18
126423,16156,4
126836,15666,96
126848,15338,28
126855,15425,39
126864,15445,7
126865,15401,406
126954,15456,4
126973,15461,12
126990,15436,3
127039,15472,3
127102,15478,40
127110,15631,2
127127,15480,1
127260,16050,16
127262,16025,6
127263,16022,2
127264,16061,1
127269,16041,2
127285,15085,12
127306,15370,36
127313,26505,995
127318,15474,11
127319,26508,1105
127334,26501,850
127380,26330,1440
127426,26554,1332
127432,26301,980
127439,26354,288
127467,26582,14
127493,26386,4
127574,26431,17
127635,26570,175
127688,26347,20
127834,26416,24
127919,26408,11
127948,26588,7
127979,15349,6
128610,26574,3
129721,26525,21
129722,26542,14
129746,15411,10
129752,21531,30
129758,15459,1
129759,15464,3
129760,21541,183
129763,21536,24
129772,21520,11
129773,21550,1912
129791,21561,99
129834,15437,32
129857,21532,44
129868,15424,2
129931,21521,12
130026,26547,27
130039,26520,4
130050,15501,370
130060,15610,8
130100,15490,6
130115,15622,6
130137,26519,6
130138,26537,24
130142,26764,29
130297,21538,2
130302,21562,11
130471,15658,13
130493,26726,58
130494,15557,40
130531,15552,12
130586,15650,10
130592,15502,1
130724,15542,5
130871,26444,8
130895,15531,27
130908,15563,4
130909,15530,81
130927,15541,11
130929,15926,70
130943,15905,714
130961,15906,222
130973,15963,25
130980,15904,318
131005,15902,186
